model,type,horsepower,color_options,price,Fuel Type,Drive Type,Transmission,Miles Per Gallon
Camry XSE Gen2,Sedan,208,White|Black|Red,31715,Hybrid,RWD,Automatic,43
Camry XSE Gen3,Sedan,211,White|Black|Red,30062,Hybrid,RWD,Automatic,47
Camry XSE Gen4,Sedan,210,White|Black|Red,30850,Hybrid,RWD,Automatic,45
RAV4 LE Gen5,SUV,196,Silver|Gray|White,28348,Hybrid,4WD,Automatic,37
Mirai XLE Gen6,Sedan,186,Blue|White|Black,50049,Hydrogen,RWD,Automatic,27
Venza XLE Gen7,SUV,218,Gray|Black|White,38515,Hybrid,4WD,Automatic,47
Mirai XLE Gen8,Sedan,192,Blue|White|Black,50149,Hydrogen,RWD,Automatic,32
Supra GR Gen9,Coupe,386,Red|Blue|Black,45898,Gas,FWD,Manual,23
Camry XSE Gen10,Sedan,204,White|Black|Red,32280,Hybrid,RWD,Automatic,45
RAV4 LE Gen11,SUV,203,Silver|Gray|White,28397,Hybrid,4WD,Automatic,33
Venza XLE Gen12,SUV,211,Gray|Black|White,38286,Hybrid,4WD,Automatic,42
Venza XLE Gen13,SUV,226,Gray|Black|White,40910,Hybrid,4WD,Automatic,42
Venza XLE Gen14,SUV,214,Gray|Black|White,38895,Hybrid,4WD,Automatic,43
Mirai XLE Gen15,Sedan,178,Blue|White|Black,49324,Hydrogen,RWD,Automatic,29
RAV4 LE Gen16,SUV,202,Silver|Gray|White,29249,Hybrid,4WD,Automatic,35
Tacoma TRD Gen17,Truck,276,White|Gray|Black,35597,Gas,FWD,Manual,26
RAV4 LE Gen18,SUV,205,Silver|Gray|White,28197,Hybrid,4WD,Automatic,35
Tacoma TRD Gen19,Truck,281,White|Gray|Black,37649,Gas,FWD,Manual,29
Supra GR Gen20,Coupe,373,Red|Blue|Black,44450,Gas,FWD,Manual,21
Camry XSE Gen21,Sedan,206,White|Black|Red,29543,Hybrid,RWD,Automatic,44
Venza XLE Gen22,SUV,211,Gray|Black|White,40474,Hybrid,4WD,Automatic,43
Tacoma TRD Gen23,Truck,269,White|Gray|Black,36716,Gas,FWD,Manual,30
Tacoma TRD Gen24,Truck,283,White|Gray|Black,37360,Gas,FWD,Manual,25
Venza XLE Gen25,SUV,212,Gray|Black|White,38327,Hybrid,4WD,Automatic,45
Venza XLE Gen26,SUV,217,Gray|Black|White,39533,Hybrid,4WD,Automatic,42
Tacoma TRD Gen27,Truck,285,White|Gray|Black,34072,Gas,FWD,Manual,31
Mirai XLE Gen28,Sedan,174,Blue|White|Black,49802,Hydrogen,RWD,Automatic,33
Venza XLE Gen29,SUV,211,Gray|Black|White,37718,Hybrid,4WD,Automatic,42
Supra GR Gen30,Coupe,385,Red|Blue|Black,44190,Gas,FWD,Manual,20
Camry XSE Gen31,Sedan,201,White|Black|Red,30204,Hybrid,RWD,Automatic,47
Camry XSE Gen32,Sedan,201,White|Black|Red,30414,Hybrid,RWD,Automatic,44
Camry XSE Gen33,Sedan,212,White|Black|Red,31987,Hybrid,RWD,Automatic,45
Camry XSE Gen34,Sedan,208,White|Black|Red,31472,Hybrid,RWD,Automatic,44
RAV4 LE Gen35,SUV,193,Silver|Gray|White,27934,Hybrid,4WD,Automatic,38
Venza XLE Gen36,SUV,211,Gray|Black|White,37350,Hybrid,4WD,Automatic,41
Camry XSE Gen37,Sedan,205,White|Black|Red,32973,Hybrid,RWD,Automatic,43
Venza XLE Gen38,SUV,224,Gray|Black|White,40403,Hybrid,4WD,Automatic,47
Venza XLE Gen39,SUV,220,Gray|Black|White,38459,Hybrid,4WD,Automatic,47
Camry XSE Gen40,Sedan,204,White|Black|Red,32552,Hybrid,RWD,Automatic,43
Venza XLE Gen41,SUV,214,Gray|Black|White,40636,Hybrid,4WD,Automatic,46
Mirai XLE Gen42,Sedan,174,Blue|White|Black,51488,Hydrogen,RWD,Automatic,33
RAV4 LE Gen43,SUV,206,Silver|Gray|White,29354,Hybrid,4WD,Automatic,34
Venza XLE Gen44,SUV,215,Gray|Black|White,37928,Hybrid,4WD,Automatic,44
Mirai XLE Gen45,Sedan,183,Blue|White|Black,51804,Hydrogen,RWD,Automatic,30
Venza XLE Gen46,SUV,225,Gray|Black|White,40410,Hybrid,4WD,Automatic,42
Supra GR Gen47,Coupe,392,Red|Blue|Black,44371,Gas,FWD,Manual,22
Mirai XLE Gen48,Sedan,178,Blue|White|Black,50713,Hydrogen,RWD,Automatic,28
Tacoma TRD Gen49,Truck,271,White|Gray|Black,37822,Gas,FWD,Manual,30
Venza XLE Gen50,SUV,222,Gray|Black|White,37092,Hybrid,4WD,Automatic,44
Camry XSE Gen1,Sedan,209,White|Black|Red,30732,Hybrid,RWD,Automatic,45
Camry XSE Gen2,Sedan,205,White|Black|Red,29739,Hybrid,RWD,Automatic,47
Camry XSE Gen3,Sedan,202,White|Black|Red,29283,Hybrid,RWD,Automatic,42
Supra GR Gen4,Coupe,374,Red|Blue|Black,46726,Gas,FWD,Manual,22
Tacoma TRD Gen5,Truck,281,White|Gray|Black,34082,Gas,FWD,Manual,27
Mirai XLE Gen6,Sedan,192,Blue|White|Black,51807,Hydrogen,RWD,Automatic,33
RAV4 LE Gen7,SUV,197,Silver|Gray|White,29517,Hybrid,4WD,Automatic,35
Camry XSE Gen8,Sedan,202,White|Black|Red,30929,Hybrid,RWD,Automatic,47
Supra GR Gen9,Coupe,379,Red|Blue|Black,44394,Gas,FWD,Manual,21
Mirai XLE Gen10,Sedan,181,Blue|White|Black,51485,Hydrogen,RWD,Automatic,29
Supra GR Gen11,Coupe,392,Red|Blue|Black,44985,Gas,FWD,Manual,20
Tacoma TRD Gen12,Truck,285,White|Gray|Black,34396,Gas,FWD,Manual,30
Mirai XLE Gen13,Sedan,189,Blue|White|Black,48246,Hydrogen,RWD,Automatic,31
Tacoma TRD Gen14,Truck,288,White|Gray|Black,34881,Gas,FWD,Manual,27
Venza XLE Gen15,SUV,217,Gray|Black|White,40038,Hybrid,4WD,Automatic,47
Supra GR Gen16,Coupe,390,Red|Blue|Black,44625,Gas,FWD,Manual,22
Tacoma TRD Gen17,Truck,281,White|Gray|Black,34185,Gas,FWD,Manual,25
Venza XLE Gen18,SUV,214,Gray|Black|White,38131,Hybrid,4WD,Automatic,44
Camry XSE Gen19,Sedan,213,White|Black|Red,30839,Hybrid,RWD,Automatic,45
Camry XSE Gen20,Sedan,212,White|Black|Red,32467,Hybrid,RWD,Automatic,44
Supra GR Gen21,Coupe,387,Red|Blue|Black,44470,Gas,FWD,Manual,23
Venza XLE Gen22,SUV,223,Gray|Black|White,38069,Hybrid,4WD,Automatic,46
Camry XSE Gen23,Sedan,215,White|Black|Red,32567,Hybrid,RWD,Automatic,43
RAV4 LE Gen24,SUV,210,Silver|Gray|White,29438,Hybrid,4WD,Automatic,34
Tacoma TRD Gen25,Truck,271,White|Gray|Black,34125,Gas,FWD,Manual,29
Mirai XLE Gen26,Sedan,173,Blue|White|Black,49748,Hydrogen,RWD,Automatic,27
Mirai XLE Gen27,Sedan,172,Blue|White|Black,48081,Hydrogen,RWD,Automatic,33
RAV4 LE Gen28,SUV,205,Silver|Gray|White,27292,Hybrid,4WD,Automatic,34
Supra GR Gen29,Coupe,381,Red|Blue|Black,45168,Gas,FWD,Manual,22
RAV4 LE Gen30,SUV,211,Silver|Gray|White,26568,Hybrid,4WD,Automatic,37
Venza XLE Gen31,SUV,209,Gray|Black|White,38044,Hybrid,4WD,Automatic,42
Tacoma TRD Gen32,Truck,287,White|Gray|Black,35535,Gas,FWD,Manual,29
Supra GR Gen33,Coupe,382,Red|Blue|Black,46262,Gas,FWD,Manual,19
Tacoma TRD Gen34,Truck,283,White|Gray|Black,36517,Gas,FWD,Manual,29
RAV4 LE Gen35,SUV,198,Silver|Gray|White,28188,Hybrid,4WD,Automatic,38
Venza XLE Gen36,SUV,223,Gray|Black|White,38694,Hybrid,4WD,Automatic,42
Camry XSE Gen37,Sedan,215,White|Black|Red,29428,Hybrid,RWD,Automatic,42
Mirai XLE Gen38,Sedan,184,Blue|White|Black,51716,Hydrogen,RWD,Automatic,30
Tacoma TRD Gen39,Truck,271,White|Gray|Black,35005,Gas,FWD,Manual,26
Tacoma TRD Gen40,Truck,271,White|Gray|Black,37635,Gas,FWD,Manual,30
Venza XLE Gen41,SUV,224,Gray|Black|White,39436,Hybrid,4WD,Automatic,43
Camry XSE Gen42,Sedan,214,White|Black|Red,29792,Hybrid,RWD,Automatic,46
Camry XSE Gen43,Sedan,205,White|Black|Red,31496,Hybrid,RWD,Automatic,42
RAV4 LE Gen44,SUV,208,Silver|Gray|White,26700,Hybrid,4WD,Automatic,38
Camry XSE Gen45,Sedan,201,White|Black|Red,32125,Hybrid,RWD,Automatic,47
RAV4 LE Gen46,SUV,199,Silver|Gray|White,28906,Hybrid,4WD,Automatic,37
RAV4 LE Gen47,SUV,205,Silver|Gray|White,27990,Hybrid,4WD,Automatic,36
Mirai XLE Gen48,Sedan,174,Blue|White|Black,48782,Hydrogen,RWD,Automatic,28
RAV4 LE Gen49,SUV,195,Silver|Gray|White,27932,Hybrid,4WD,Automatic,32
Mirai XLE Gen50,Sedan,176,Blue|White|Black,48226,Hydrogen,RWD,Automatic,31
